1,improve-writing,,"🪄","Improve writing",new_window,speed,gpt-3.5-turbo,0.5,,"Improve the text in triple below in your own words. Rephrase the text.

""""""
{input}
""""""

Do not return anything other than the rephrased text. Do not wrap responses in quotes.",1,0,,,0,0,,,
2,expand,,"⚡️","Expand my writing",insert_below,creativity,gpt-3.5-turbo,0.7,,"The following text in triple quotes below has already been written:

""""""
{input}
""""""

Expand the writing. Write at least 3 paragraphs. Do not return anything other than the expanded writing. Do not wrap responses in quotes.",1,0,,,0,0,,,
3,fix-grammar,,"⚡️","Fix spelling and grammar",replace_selection,speed,gpt-3.5-turbo,0.0,,"Correct the text in triple quotes below into standard English and fix the grammar. Make your best effort.

""""""
{input}
""""""

Do not return anything other than the corrected text. Do not wrap responses in quotes.",1,0,,,0,0,,,
4,simplify,,"⚡️","Simplify my writing",insert_below,accuracy,gpt-3.5-turbo,0.5,,"The following text in triple quotes below has already been written:

""""""""""
{input}
""""""

Simplify and condense the writing. Do not return anything other than the simplified writing. Do not wrap responses in quotes.",1,0,,,0,0,,,
5,explain-this,,"❓","Explain this",new_window,creativity,gpt-3.5-turbo,0.5,,"Explain the text in triple quotes below:

""""""
{input}
""""""

Do not return anything other than the explaination. Do not wrap responses in quotes.",1,0,,,0,0,,,
6,takeaways,,"⚡️","List key takeaways",new_window,speed,gpt-3.5-turbo,0.5,,"My notes are below in triple quotes:

""""""
{input}
""""""

Write a markdown list (using dashes) of key takeaways from my notes. Write at least 10 items. Do not wrap responses in quotes.",1,0,,,0,0,,,
7,short-summary,,"⚡️",Summarize,new_window,speed,gpt-3.5-turbo,0.7,,"Summarize the text in triple quotes but keep it concise. Summarize using plain and simple language and keep the same tense.

""""""
{input}
""""""

Do not return anything other than the summary. Do not wrap responses in quotes.",1,0,,,0,0,,,
8,long-summary,,"⚡️","Summarize (longer)",new_window,speed,gpt-3.5-turbo,0.7,,"Summarize the text in triple quotes below into three long paragraphs. Summarize using plain and simple language and keep the same tense.

""""""
{input}
""""""

Do not return anything other than the summary. Do not wrap responses in quotes.",1,0,,,0,0,,,
9,rephrase-friendly,,"⚡️","Rewrite in friendly tone",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Rewrite the text in triple below in your own words. Rephrase the text in friendly tone.

""""""
{input}
""""""

Do not return anything other than the rephrased text. Do not wrap responses in quotes.",1,0,,,0,0,,,
10,rephrase-professional,,"⚡️","Rewrite in professional tone",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Rewrite the text in triple below in your own words. Rephrase the text in professional tone.

""""""
{input}
""""""

Do not return anything other than the rephrased text. Do not wrap responses in quotes.",1,0,,,0,0,,,
11,rephrase-persuasive,,"⚡️","Rewrite in persuasive tone",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Rewrite the text in triple below in your own words. Rephrase the text in persuasive tone.

""""""
{input}
""""""

Do not return anything other than the rephrased text. Do not wrap responses in quotes.",1,0,,,0,0,,,
12,rephrase-instructive,,"⚡️","Rewrite in instructive tone",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Rewrite the text in triple below in your own words. Rephrase the text in instructive tone.

""""""
{input}
""""""

Do not return anything other than the rephrased text. Do not wrap responses in quotes.",1,0,,,0,0,,,
13,rephrase-humorous,,"⚡️","Rewrite in humorous tone",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Rewrite the text in triple below in your own words. Rephrase the text in humorous tone.

""""""
{input}
""""""

Do not return anything other than the rephrased text. Do not wrap responses in quotes.",1,0,,,0,0,,,
14,rephrase-sarcastic,,"⚡️","Rewrite in sarcastic tone",insert_below,accuracy,gpt-3.5-turbo,0.5,,"Rewrite the text in triple below in your own words. Rephrase the text in sarcastic tone.

""""""
{input}
""""""

Do not return anything other than the rephrased text. Do not wrap responses in quotes.",1,0,,,0,0,,,
